Thumb,Index,Middle,Ring,Pinky,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,gesture
0.0104,0.0,0.0,0.0,0.0708,4931.59,17286.89,-17577.49,-1.49,68.39,0.36,HELLO
0.0066,0.0,0.0,0.0098,0.0,4895.59,17434.89,-17705.49,129.51,99.39,28.36,HELLO
0.0041,0.0,0.0,0.0951,0.0,5119.59,17586.89,-17721.49,1.51,52.39,-88.64,HELLO
0.0066,0.0,0.0,0.089,0.0,5055.59,17542.89,-17865.49,-304.49,64.39,-97.64,HELLO
0.0104,0.0,0.0,0.0,0.0778,4895.59,17578.89,-18165.49,-483.49,-158.61,37.36,HELLO
0.0142,0.0,0.0,0.0,0.1906,5075.59,17422.89,-17897.49,-495.49,128.39,-58.64,HELLO
0.0193,0.0,0.0,0.0,0.2328,4527.59,17250.89,-17949.49,-438.49,-219.61,106.36,HELLO
0.0193,0.0,0.0,0.0,0.261,4703.59,17230.89,-17653.49,-291.49,-450.61,336.36,HELLO
0.0091,0.0,0.0,0.0,0.2258,4751.59,17222.89,-17565.49,-2.49,234.39,118.36,HELLO
0.0218,0.0,0.0,0.0,0.1342,4527.59,17206.89,-17777.49,104.51,262.39,-42.64,HELLO
0.0142,0.0,0.0,0.0,0.0215,4591.59,17494.89,-17937.49,72.51,-85.61,-113.64,HELLO
0.0091,0.0,0.0,0.0768,0.0,4735.59,17390.89,-17801.49,86.51,425.39,-292.64,HELLO
0.0028,0.0,0.0,0.15,0.0,4547.59,17374.89,-17737.49,133.51,341.39,-219.64,HELLO
0.0041,0.0,0.0,0.1012,0.0,4851.59,17422.89,-17537.49,16.51,352.39,-178.64,HELLO
0.0066,0.0,0.0,0.0,0.0849,4791.59,17262.89,-17785.49,-39.49,362.39,-128.64,HELLO
0.018,0.0,0.0,0.0,0.18,5035.59,17254.89,-17497.49,-43.49,-12.61,93.36,HELLO
0.0142,0.0,0.0,0.0,0.2364,5075.59,17446.89,-17689.49,-19.49,444.39,32.36,HELLO
0.0231,0.0,0.0,0.0,0.261,4919.59,17518.89,-17973.49,-95.49,210.39,27.36,HELLO
0.0167,0.0,0.0,0.0,0.2011,5055.59,17766.89,-17693.49,-277.49,-114.61,-19.64,HELLO
0.0167,0.0,0.0,0.0,0.1131,5175.59,17674.89,-17789.49,-364.49,6.39,-133.64,HELLO
0.0104,0.0,0.0,0.0,0.0215,5047.59,17566.89,-17709.49,-438.49,16.39,46.36,HELLO
